"celltype","injury","time","contrast","n_genes","r","rho","neuronal"
"NF1","Crush",672,"SNI",10125,0.141652429294121,-0.0170454125856341,TRUE
"NF1","Crush",1440,"MINP",10125,0.0220294816952832,0.016009789156532,TRUE
"NF1","Crush",1440,"SNI",10125,-0.0146337779497594,-0.0497451908265436,TRUE
"NF1","Crush",2160,"MINP",10125,0.0286698193714471,0.0321841685178143,TRUE
"NF1","Crush",2160,"SNI",10125,-0.0203778214040662,-0.04358377245277,TRUE
"NF1","ScNT",6,"MINP",10125,0.0144390539256829,0.00564191834544476,TRUE
"NF1","ScNT",6,"SNI",10125,-0.0183724308996138,-0.0218220070258796,TRUE
"NF1","ScNT",12,"MINP",10125,-0.0399085716934475,-0.045981879875227,TRUE
"NF1","ScNT",12,"SNI",10125,0.0640712278432725,0.0593424249729206,TRUE
"NF1","ScNT",24,"MINP",10125,-0.0096184428762238,-0.0065312554668522,TRUE
"NF1","ScNT",24,"SNI",10125,0.112671238595897,0.104731520634639,TRUE
"NF1","ScNT",72,"MINP",10125,-0.0729186004904809,-0.0271311611880062,TRUE
"NF1","ScNT",72,"SNI",10125,0.379210362064585,0.320403970683266,TRUE
"NF1","ScNT",168,"MINP",10125,-0.0763232305861375,-0.0346240536302574,TRUE
"NF1","ScNT",168,"SNI",10125,0.323141643719244,0.214317784930844,TRUE
"NF1","ScNT",672,"MINP",10125,-0.0578427627027364,-0.017812761152132,TRUE
"NF1","ScNT",672,"SNI",10125,0.290774739350067,0.173296047002901,TRUE
"NF1","ScNT",1440,"MINP",10125,-0.0120034510526764,-0.00496052956913232,TRUE
"NF1","ScNT",1440,"SNI",10125,0.0955843879370972,0.0193273347025489,TRUE
"NF1","SpNT",6,"MINP",10125,-0.00928043199431432,-0.0118447447548975,TRUE
"NF1","SpNT",6,"SNI",10125,0.0231496083428153,0.00153600402807329,TRUE
"NF1","SpNT",12,"MINP",10125,-0.00545147935382647,-0.00310024200544735,TRUE
"NF1","SpNT",12,"SNI",10125,0.131033671680128,0.0565640378067685,TRUE
"NF1","SpNT",24,"MINP",10125,-0.0387523498686411,0.00525829029911812,TRUE
"NF1","SpNT",24,"SNI",10125,0.360430845151518,0.273902571891898,TRUE
"NF1","SpNT",36,"MINP",10125,-0.0813543907075517,-0.0637668311401803,TRUE
"NF1","SpNT",36,"SNI",10125,0.405833506858733,0.383265377065102,TRUE
"NF1","SpNT",48,"MINP",10125,-0.0776730408090764,-0.0582052880203817,TRUE
"NF1","SpNT",48,"SNI",10125,0.46988813422874,0.429868705442282,TRUE
"NF1","SpNT",72,"MINP",10125,-0.0933094495559539,-0.0641156605860575,TRUE
"NF1","SpNT",72,"SNI",10125,0.418746086084782,0.365800390904496,TRUE
"NF1","SpNT",168,"MINP",10125,-0.0738690240475225,-0.043914523236771,TRUE
"NF1","SpNT",168,"SNI",10125,0.398451832565287,0.322110319873412,TRUE
"NF1","CFA",48,"MINP",10125,-0.0129119657609749,-0.0149196533391335,TRUE
"NF1","CFA",48,"SNI",10125,-0.0269923749257696,-0.0214878757400869,TRUE
"NF1","Paclitaxel",168,"MINP",10125,-0.0345457283193684,-0.0582794805035163,TRUE
"NF1","Paclitaxel",168,"SNI",10125,0.0430857880763783,0.0366669227715228,TRUE
"NF2","Crush",6,"MINP",10332,0.0570724481318977,0.0738722055348946,TRUE
"NF2","Crush",6,"SNI",10332,0.00362761179931884,-0.0306188445014506,TRUE
"NF2","Crush",24,"MINP",10332,-0.00694451293622772,0.0387607001772408,TRUE
"NF2","Crush",24,"SNI",10332,0.287308212363714,0.21500522921106,TRUE
"NF2","Crush",72,"MINP",10332,-0.0582324667449719,0.00397957350762667,TRUE
"NF2","Crush",72,"SNI",10332,0.446709590271958,0.342286529229469,TRUE
"NF2","Crush",168,"MINP",10332,-0.0790701322672104,-0.0312168733836538,TRUE
"NF2","Crush",168,"SNI",10332,0.499307546368793,0.421019031332497,TRUE
"NF2","Crush",336,"MINP",10332,-0.000854431773240405,0.0464115295415132,TRUE
"NF2","Crush",336,"SNI",10332,0.25701067814055,0.139415241964135,TRUE
"NF2","Crush",672,"MINP",10332,-0.00104454765635956,0.0368205372809094,TRUE
"NF2","Crush",672,"SNI",10332,0.280586754361499,0.15983769325723,TRUE
"NF2","Crush",1440,"MINP",10332,0.0135496149384425,0.0315217708090126,TRUE
"NF2","Crush",1440,"SNI",10332,0.11646365570645,0.0445224666654821,TRUE
"NF2","Crush",2160,"MINP",10332,0.0391298777695779,0.0500464516413073,TRUE
"NF2","Crush",2160,"SNI",10332,0.0875868444505127,0.0177820471493172,TRUE
"NF2","ScNT",6,"MINP",10332,0.0300633722992705,0.0407582093033736,TRUE
"NF2","ScNT",6,"SNI",10332,0.00662176839701085,0.00344789144471168,TRUE
"NF2","ScNT",12,"MINP",10332,-0.00280506517769887,0.0349337370906975,TRUE
"NF2","ScNT",12,"SNI",10332,0.0572320557631888,0.0360870641692904,TRUE
"NF2","ScNT",24,"MINP",10332,-0.0331000557706599,-0.0320638344992082,TRUE
"NF2","ScNT",24,"SNI",10332,0.0851059651321372,0.0703986677579257,TRUE
"NF2","ScNT",72,"MINP",10332,-0.0307034366900089,0.0141504318294959,TRUE
"NF2","ScNT",72,"SNI",10332,0.323315620204496,0.301722468204016,TRUE
"NF2","ScNT",168,"MINP",10332,-0.0738128363241204,-0.021404275947655,TRUE
"NF2","ScNT",168,"SNI",10332,0.382197577547441,0.344285761958258,TRUE
"NF2","ScNT",672,"MINP",10332,-0.0483939417061167,-0.025937422485526,TRUE
"NF2","ScNT",672,"SNI",10332,0.434697230363673,0.375539974881635,TRUE
"NF2","ScNT",1440,"MINP",10332,-0.0480586977445408,-0.0169291248588735,TRUE
"NF2","ScNT",1440,"SNI",10332,0.331906614563021,0.251752644320203,TRUE
"NF2","SpNT",6,"MINP",10332,0.0252786963059814,0.0299509074722234,TRUE
"NF2","SpNT",6,"SNI",10332,0.0696755269186918,0.0281155142320703,TRUE
"NF2","SpNT",12,"MINP",10332,0.00820546063947123,0.0117030159121219,TRUE
"NF2","SpNT",12,"SNI",10332,0.159650558968225,0.12923186908898,TRUE
"NF2","SpNT",24,"MINP",10332,-0.0371607234491845,0.00847057750275438,TRUE
"NF2","SpNT",24,"SNI",10332,0.330656279626131,0.298477056927821,TRUE
"NF2","SpNT",36,"MINP",10332,-0.0624389708177204,-0.0431976937671528,TRUE
"NF2","SpNT",36,"SNI",10332,0.369761416305829,0.383268626604919,TRUE
"NF2","SpNT",48,"MINP",10332,-0.0705449475649977,-0.0617582437866717,TRUE
"NF2","SpNT",48,"SNI",10332,0.404940779410701,0.435829850918751,TRUE
"NF2","SpNT",72,"MINP",10332,-0.0686790062258148,-0.0308722217646287,TRUE
"NF2","SpNT",72,"SNI",10332,0.439824061628838,0.431198842080338,TRUE
"NF2","SpNT",168,"MINP",10332,-0.0536295875045895,-0.0237716289271113,TRUE
"NF2","SpNT",168,"SNI",10332,0.393416581515963,0.365182344895545,TRUE
"NF2","CFA",48,"MINP",10332,0.0263304994862046,0.0205180009366708,TRUE
"NF2","CFA",48,"SNI",10332,-0.00480060653382444,0.0245067223834758,TRUE
"NF2","Paclitaxel",168,"MINP",10332,-0.0047439089180028,-0.0281019986080029,TRUE
"NF2","Paclitaxel",168,"SNI",10332,0.0343594331657851,0.0580960236954527,TRUE
"NF3","Crush",6,"MINP",6826,0.0644566454039864,0.0625003695849107,TRUE
"NF3","Crush",6,"SNI",6826,0.000622742067537119,-0.0287812850396129,TRUE
"NF3","Crush",24,"MINP",6826,0.0159584859383965,0.0843549330758088,TRUE
"NF3","Crush",24,"SNI",6826,0.315469593401796,0.196459484907288,TRUE
"NF3","Crush",72,"MINP",6826,-0.0199813797429034,0.0918598069181406,TRUE
"NF3","Crush",72,"SNI",6826,0.409771545927654,0.196089002981176,TRUE
"NF3","Crush",168,"MINP",6826,-0.0567705179751043,0.0395903038213389,TRUE
"NF3","Crush",168,"SNI",6826,0.46610023415842,0.23919647507805,TRUE
"NF3","Crush",336,"MINP",6826,0.0492974922483881,0.116784407993972,TRUE
"NF3","Crush",336,"SNI",6826,0.0644679468194247,-0.0475742605952043,TRUE
"NF3","Crush",672,"MINP",6826,0.0444466981417354,0.117407180783013,TRUE
"NF3","Crush",672,"SNI",6826,0.169819742752904,0.0166621536603085,TRUE
"NF3","Crush",1440,"MINP",6826,0.0533368724528085,0.0808929741766629,TRUE
"NF3","Crush",1440,"SNI",6826,-0.0484388908679589,-0.0883107556369515,TRUE
"NF3","Crush",2160,"MINP",6826,0.0284516609903217,0.0398331684062287,TRUE
"NF3","Crush",2160,"SNI",6826,0.0362252691612545,-0.0141735359161542,TRUE
"NF3","ScNT",6,"MINP",6826,0.0313396552583483,0.0619856959966856,TRUE
"NF3","ScNT",6,"SNI",6826,-0.00775123866972973,-0.0232531755096708,TRUE
"NF3","ScNT",12,"MINP",6826,0.0144085913120542,0.0156392889428449,TRUE
"NF3","ScNT",12,"SNI",6826,0.140789565908016,0.0835861185289792,TRUE
"NF3","ScNT",72,"MINP",6826,-0.0232553439390155,0.0361426331612905,TRUE
"NF3","ScNT",72,"SNI",6826,0.350170470671051,0.282331596402285,TRUE
"NF3","ScNT",168,"MINP",6826,-0.0418586678332411,0.0194284975595158,TRUE
"NF3","ScNT",168,"SNI",6826,0.398003218394848,0.266284396619155,TRUE
"NF3","ScNT",672,"MINP",6826,0.00375210106196478,0.0233976304930716,TRUE
"NF3","ScNT",672,"SNI",6826,-0.00558639316264357,-0.0577741021742916,TRUE
"NF3","ScNT",1440,"MINP",6826,0.027767913068257,0.0530406329276458,TRUE
"NF3","ScNT",1440,"SNI",6826,0.0357781746582192,0.00661091282359678,TRUE
"NF3","SpNT",6,"MINP",6826,0.0307024993390937,0.0230156785141708,TRUE
"NF3","SpNT",6,"SNI",6826,0.031695885589715,-0.0119868240490367,TRUE
"NF3","SpNT",12,"MINP",6826,-0.0370741356195531,-0.0239740189135359,TRUE
"NF3","SpNT",12,"SNI",6826,0.239083755448023,0.172653326630892,TRUE
"NF3","SpNT",24,"MINP",6826,-0.0103114361967042,0.0413020546142501,TRUE
"NF3","SpNT",24,"SNI",6826,0.372208019228121,0.294235802732386,TRUE
"NF3","SpNT",36,"MINP",6826,-0.0267452971124119,-0.00175900969224665,TRUE
"NF3","SpNT",36,"SNI",6826,0.44506687345544,0.402767127751903,TRUE
"NF3","SpNT",48,"MINP",6826,-0.0538792602230371,-0.00784746573507077,TRUE
"NF3","SpNT",48,"SNI",6826,0.420630829877659,0.382660596850107,TRUE
"NF3","SpNT",72,"MINP",6826,-0.0323695979791638,0.0259857844501344,TRUE
"NF3","SpNT",72,"SNI",6826,0.40619892090658,0.321570207331952,TRUE
"NF3","CFA",48,"MINP",6826,0.0249253763186166,0.025852618808794,TRUE
"NF3","CFA",48,"SNI",6826,-0.0325832185554775,-0.0352168464741737,TRUE
"NF3","Paclitaxel",168,"MINP",6826,-0.0217567506930489,-0.0261547416108649,TRUE
"NF3","Paclitaxel",168,"SNI",6826,0.0492350614681392,0.0235854098510612,TRUE
"cLTMR1","Crush",6,"MINP",8984,0.00886403628786883,0.00331950171224917,TRUE
"cLTMR1","Crush",6,"SNI",8984,-0.0159978416271882,-0.0165933808055529,TRUE
"cLTMR1","Crush",24,"MINP",8984,-0.0423489645414553,0.0375761938036873,TRUE
"cLTMR1","Crush",24,"SNI",8984,0.2553986758859,0.134541120106508,TRUE
"cLTMR1","Crush",72,"MINP",8984,-0.0493947533499064,0.0581713154274743,TRUE
"cLTMR1","Crush",72,"SNI",8984,0.443408917207018,0.238252126854724,TRUE
"cLTMR1","Crush",168,"MINP",8984,-0.0732974533631152,0.034910380495555,TRUE
"cLTMR1","Crush",168,"SNI",8984,0.488466994720821,0.260265185952419,TRUE
"cLTMR1","Crush",336,"MINP",8984,-0.0200263975526627,0.0474068022766037,TRUE
"cLTMR1","Crush",336,"SNI",8984,0.162973333354287,0.00569435656631998,TRUE
"cLTMR1","Crush",672,"MINP",8984,0.00757881286088713,0.059550003808844,TRUE
"cLTMR1","Crush",672,"SNI",8984,0.0352059113861035,-0.0916714824393554,TRUE
"cLTMR1","Crush",1440,"MINP",8984,0.0215123585429113,0.0324193051548672,TRUE
"cLTMR1","Crush",1440,"SNI",8984,-0.052376831257408,-0.0794532527732834,TRUE
"cLTMR1","Crush",2160,"MINP",8984,0.010559571367676,0.00418867211861119,TRUE
"cLTMR1","Crush",2160,"SNI",8984,-0.0369024926464781,-0.0631220618659227,TRUE
"cLTMR1","ScNT",6,"MINP",8984,-0.00593442463673326,0.0100169577288561,TRUE
"cLTMR1","ScNT",6,"SNI",8984,-0.017982234168776,-0.0409510155979474,TRUE
"cLTMR1","ScNT",12,"MINP",8984,-0.0346946638144018,0.0040434739049474,TRUE
"cLTMR1","ScNT",12,"SNI",8984,0.123453604917531,0.0655129921544031,TRUE
"cLTMR1","ScNT",24,"MINP",8984,-0.0751962580602852,-0.00652076991636716,TRUE
"cLTMR1","ScNT",24,"SNI",8984,0.301350412288245,0.226864549303742,TRUE
"cLTMR1","ScNT",72,"MINP",8984,-0.0821075305280135,0.0131274817795753,TRUE
"cLTMR1","ScNT",72,"SNI",8984,0.395390292088462,0.231056018875474,TRUE
"cLTMR1","ScNT",168,"MINP",8984,-0.0776675516573407,0.00784319291281487,TRUE
"cLTMR1","ScNT",168,"SNI",8984,0.356959806551346,0.171906109643207,TRUE
"cLTMR1","ScNT",672,"MINP",8984,-0.0278225486688199,-0.0117572610046935,TRUE
"cLTMR1","ScNT",672,"SNI",8984,0.0418214827222573,0.0155339966003347,TRUE
"cLTMR1","ScNT",1440,"MINP",8984,0.0103810820454897,0.0221841889043549,TRUE
"cLTMR1","ScNT",1440,"SNI",8984,-0.000373230515523911,-0.0381886681819566,TRUE
"cLTMR1","SpNT",6,"MINP",8984,-0.0367660387987491,-0.0522926614631801,TRUE
"cLTMR1","SpNT",6,"SNI",8984,0.112148569612474,0.0908815374385434,TRUE
"cLTMR1","SpNT",12,"MINP",8984,-0.0688984824205246,-0.0516855919899058,TRUE
"cLTMR1","SpNT",12,"SNI",8984,0.272200980183801,0.227448703196224,TRUE
"cLTMR1","SpNT",24,"MINP",8984,-0.0627625391547964,0.00719358902896095,TRUE
"cLTMR1","SpNT",24,"SNI",8984,0.40553810312348,0.338388971100514,TRUE
