"celltype","inj","time","n","pct"
"NF2","ScNT",72,70,60
"NP","ScNT",72,341,46.6275659824047
"p_cLTMR2","ScNT",72,118,45.7627118644068
"PEP1","ScNT",72,231,31.6017316017316
"PEP2","ScNT",72,135,51.8518518518518
"Pericyte","ScNT",72,52,15.3846153846154
"Satglia","ScNT",72,227,15.8590308370044
"Schwann_M","ScNT",72,219,22.3744292237443
"Schwann_N","ScNT",72,178,29.7752808988764
"SST","ScNT",72,127,23.6220472440945
"B cell","ScNT",168,165,14.5454545454545
"cLTMR1","ScNT",168,243,25.1028806584362
"Endothelial","ScNT",168,327,32.1100917431193
"Fibroblast","ScNT",168,697,22.0946915351506
"Macrophage","ScNT",168,453,21.8543046357616
"Neutrophil","ScNT",168,107,22.4299065420561
"NF1","ScNT",168,374,37.4331550802139
"NF2","ScNT",168,248,64.9193548387097
"NF3","ScNT",168,91,39.5604395604396
"NP","ScNT",168,858,44.8717948717949
"p_cLTMR2","ScNT",168,111,22.5225225225225
"PEP1","ScNT",168,367,13.0790190735695
"PEP2","ScNT",168,221,47.9638009049774
"Pericyte","ScNT",168,96,26.0416666666667
"Repair schwann_N","ScNT",168,37,27.027027027027
"Satglia","ScNT",168,614,16.7752442996743
"Schwann_M","ScNT",168,411,23.8442822384428
"Schwann_N","ScNT",168,333,32.4324324324324
"SST","ScNT",168,157,24.8407643312102
"cLTMR1","ScNT",672,95,1.05263157894737
"Endothelial","ScNT",672,105,8.57142857142857
"Fibroblast","ScNT",672,161,9.93788819875776
"Macrophage","ScNT",672,32,6.25
"NF1","ScNT",672,151,20.5298013245033
"NF2","ScNT",672,233,53.6480686695279
"NP","ScNT",672,365,9.04109589041096
"p_cLTMR2","ScNT",672,84,3.57142857142857
"PEP1","ScNT",672,391,13.0434782608696
"PEP2","ScNT",672,156,35.2564102564103
"Pericyte","ScNT",672,31,6.45161290322581
"Repair schwann_N","ScNT",672,100,25
"Satglia","ScNT",672,123,2.4390243902439
"Schwann_M","ScNT",672,89,10.1123595505618
"Schwann_N","ScNT",672,150,18
"SST","ScNT",672,148,24.3243243243243
"cLTMR1","ScNT",1440,71,0
"Endothelial","ScNT",1440,59,8.47457627118644
"Fibroblast","ScNT",1440,183,1.09289617486339
"NF1","ScNT",1440,277,4.33212996389892
"NF2","ScNT",1440,317,30.2839116719243
"NF3","ScNT",1440,31,3.2258064516129
"NP","ScNT",1440,196,2.55102040816327
"p_cLTMR2","ScNT",1440,50,2
"PEP1","ScNT",1440,207,8.21256038647343
"PEP2","ScNT",1440,101,1.98019801980198
"Pericyte","ScNT",1440,31,6.45161290322581
"Repair schwann_N","ScNT",1440,77,24.6753246753247
"Satglia","ScNT",1440,274,2.18978102189781
"Schwann_M","ScNT",1440,414,0.72463768115942
"Schwann_N","ScNT",1440,247,6.88259109311741
"SST","ScNT",1440,109,10.0917431192661
"B cell","SpNT",0,58,0
"cLTMR1","SpNT",0,926,0.647948164146868
"Endothelial","SpNT",0,528,0.378787878787879
"Fibroblast","SpNT",0,1384,1.22832369942197
"Macrophage","SpNT",0,159,0
"Neutrophil","SpNT",0,52,0
"NF1","SpNT",0,1509,0.331345261762757
"NF2","SpNT",0,1548,0.839793281653747
"NF3","SpNT",0,374,0.267379679144385
"NP","SpNT",0,3042,0.591715976331361
"p_cLTMR2","SpNT",0,562,1.06761565836299
"PEP1","SpNT",0,1759,1.70551449687322
"PEP2","SpNT",0,812,0.369458128078818
"Pericyte","SpNT",0,171,1.16959064327485
"Satglia","SpNT",0,1552,1.28865979381443
"Schwann_M","SpNT",0,1075,0.558139534883721
"Schwann_N","SpNT",0,658,3.64741641337386
"SST","SpNT",0,659,1.82094081942337
"cLTMR1","SpNT",6,52,9.61538461538462
"Endothelial","SpNT",6,110,5.45454545454545
"Fibroblast","SpNT",6,320,4.0625
"Macrophage","SpNT",6,59,1.69491525423729
"NF1","SpNT",6,154,1.94805194805195
"NF2","SpNT",6,279,3.2258064516129
"NP","SpNT",6,364,13.1868131868132
"p_cLTMR2","SpNT",6,87,5.74712643678161
"PEP1","SpNT",6,268,34.7014925373134
"PEP2","SpNT",6,185,17.2972972972973
"Repair schwann_N","SpNT",6,53,37.7358490566038
"Satglia","SpNT",6,196,2.55102040816327
"Schwann_M","SpNT",6,280,4.64285714285714
"Schwann_N","SpNT",6,131,13.7404580152672
"SST","SpNT",6,91,3.2967032967033
"cLTMR1","SpNT",12,100,71
"Endothelial","SpNT",12,63,6.34920634920635
"Fibroblast","SpNT",12,241,15.3526970954357
"Macrophage","SpNT",12,47,12.7659574468085
"NF1","SpNT",12,405,34.0740740740741
"NF2","SpNT",12,454,30.3964757709251
"NF3","SpNT",12,50,68
"NP","SpNT",12,371,48.5175202156334
"p_cLTMR2","SpNT",12,56,44.6428571428571
"PEP1","SpNT",12,309,71.8446601941748
"PEP2","SpNT",12,166,53.0120481927711
"Repair schwann_N","SpNT",12,35,31.4285714285714
"Satglia","SpNT",12,78,11.5384615384615
"Schwann_M","SpNT",12,85,16.4705882352941
"Schwann_N","SpNT",12,47,23.4042553191489
"SST","SpNT",12,86,5.81395348837209
"cLTMR1","SpNT",24,142,92.2535211267606
"Endothelial","SpNT",24,77,35.0649350649351
"Fibroblast","SpNT",24,233,30.4721030042918
"Macrophage","SpNT",24,81,30.8641975308642
"NF1","SpNT",24,583,75.6432246998285
"NF2","SpNT",24,565,75.5752212389381
"NF3","SpNT",24,79,88.6075949367088
"NP","SpNT",24,464,83.1896551724138
"p_cLTMR2","SpNT",24,44,79.5454545454545
"PEP1","SpNT",24,405,93.0864197530864
"PEP2","SpNT",24,161,80.7453416149068
"Repair fibroblast","SpNT",24,44,27.2727272727273
"Repair schwann_N","SpNT",24,131,33.587786259542
"Satglia","SpNT",24,132,28.7878787878788
"Schwann_M","SpNT",24,147,21.0884353741497
"Schwann_N","SpNT",24,70,50
"SST","SpNT",24,89,39.3258426966292
"cLTMR1","SpNT",36,119,98.3193277310924
"Endothelial","SpNT",36,77,24.6753246753247
"Fibroblast","SpNT",36,139,25.1798561151079
"Macrophage","SpNT",36,93,31.1827956989247
"NF1","SpNT",36,336,92.2619047619048
"NF2","SpNT",36,243,92.1810699588477
"NF3","SpNT",36,61,91.8032786885246
"NP","SpNT",36,390,91.5384615384615
"p_cLTMR2","SpNT",36,164,93.2926829268293
"PEP1","SpNT",36,218,95.4128440366973
"PEP2","SpNT",36,140,76.4285714285714
